source_match_id,date,team,opponent,tournament,listed_home,neutral,goals_for,goals_against,y_result_ordered,pre_elo,opponent_pre_elo,elo_diff,pre_match_expected_result
1,1872-11-30,Scotland,England,Friendly,TRUE,FALSE,0,0,draw,1500,1500,0,0.640065
1,1872-11-30,England,Scotland,Friendly,FALSE,FALSE,0,0,draw,1500,1500,0,0.359935
2,1873-03-08,England,Scotland,Friendly,TRUE,FALSE,4,2,win,1502.8013,1497.1987,5.602600000000166,0.647461
2,1873-03-08,Scotland,England,Friendly,FALSE,FALSE,2,4,loss,1497.1987,1502.8013,-5.602600000000166,0.352539
3,1874-03-07,Scotland,England,Friendly,TRUE,FALSE,2,1,win,1486.6225,1513.3775,-26.75500000000011,0.603874
3,1874-03-07,England,Scotland,Friendly,FALSE,FALSE,1,2,loss,1513.3775,1486.6225,26.75500000000011,0.396126
4,1875-03-06,England,Scotland,Friendly,TRUE,FALSE,2,2,draw,1505.455,1494.545,10.909999999999854,0.654403
4,1875-03-06,Scotland,England,Friendly,FALSE,FALSE,2,2,draw,1494.545,1505.455,-10.909999999999854,0.345597
5,1876-03-04,Scotland,England,Friendly,TRUE,FALSE,3,0,win,1497.6331,1502.3669,-4.733799999999974,0.633763
5,1876-03-04,England,Scotland,Friendly,FALSE,FALSE,0,3,loss,1502.3669,1497.6331,4.733799999999974,0.366237
6,1876-03-25,Scotland,Wales,Friendly,TRUE,FALSE,4,0,win,1510.4514,1500,10.451399999999921,0.653806
6,1876-03-25,Wales,Scotland,Friendly,FALSE,FALSE,0,4,loss,1500,1510.4514,-10.451399999999921,0.346194
7,1877-03-03,England,Scotland,Friendly,TRUE,FALSE,1,3,loss,1489.5486,1523.4337,-33.885099999999966,0.594015
7,1877-03-03,Scotland,England,Friendly,FALSE,FALSE,3,1,win,1523.4337,1489.5486,33.885099999999966,0.405985
8,1877-03-05,Wales,Scotland,Friendly,TRUE,FALSE,0,2,loss,1487.0177,1541.2541,-54.2364,0.565481
8,1877-03-05,Scotland,Wales,Friendly,FALSE,FALSE,2,0,win,1541.2541,1487.0177,54.2364,0.434519
9,1878-03-02,Scotland,England,Friendly,TRUE,FALSE,7,2,win,1558.2185,1471.7282,86.49029999999993,0.745267
9,1878-03-02,England,Scotland,Friendly,FALSE,FALSE,2,7,loss,1471.7282,1558.2185,-86.49029999999993,0.254733
10,1878-03-23,Scotland,Wales,Friendly,TRUE,FALSE,9,0,win,1568.4078,1470.0533,98.35449999999992,0.758014
10,1878-03-23,Wales,Scotland,Friendly,FALSE,FALSE,0,9,loss,1470.0533,1568.4078,-98.35449999999992,0.241986
11,1879-01-18,England,Wales,Friendly,TRUE,FALSE,2,1,win,1461.5389,1457.954,3.5849000000000615,0.644805
11,1879-01-18,Wales,England,Friendly,FALSE,FALSE,1,2,loss,1457.954,1461.5389,-3.5849000000000615,0.355195
12,1879-04-05,England,Scotland,Friendly,TRUE,FALSE,5,4,win,1468.6428,1580.5071,-111.86429999999996,0.482933
12,1879-04-05,Scotland,England,Friendly,FALSE,FALSE,4,5,loss,1580.5071,1468.6428,111.86429999999996,0.517067
