sport,game_id,date_utc,status,league_id,league,season,home_team_id,home_team,away_team_id,away_team,home_score,away_score
baseball,152753,2024-02-22T20:10:00Z,FT,1,MLB,2024,30,San Diego Padres,18,Los Angeles Dodgers,1,14
baseball,152754,2024-02-23T20:05:00Z,FT,1,MLB,2024,6,Chicago Cubs,7,Chicago White Sox,8,1
baseball,152756,2024-02-23T20:05:00Z,FT,1,MLB,2024,35,Texas Rangers,16,Kansas City Royals,5,4
baseball,152755,2024-02-23T20:08:00Z,FT,1,MLB,2024,18,Los Angeles Dodgers,30,San Diego Padres,4,1
baseball,152757,2024-02-23T20:10:00Z,FT,1,MLB,2024,10,Colorado Rockies,2,Arizona Diamondbacks,3,0
baseball,152758,2024-02-24T18:05:00Z,FT,1,MLB,2024,22,Minnesota Twins,28,Pittsburgh Pirates,5,3
baseball,152759,2024-02-24T18:05:00Z,FT,1,MLB,2024,33,St.Louis Cardinals,19,Miami Marlins,8,9
baseball,152769,2024-02-24T18:05:00Z,FT,1,MLB,2024,4,Baltimore Orioles,5,Boston Red Sox,4,3
baseball,152771,2024-02-24T18:05:00Z,FT,1,MLB,2024,12,Detroit Tigers,25,New York Yankees,10,22
baseball,152772,2024-02-24T18:05:00Z,FT,1,MLB,2024,34,Tampa Bay Rays,3,Atlanta Braves,5,6
baseball,152760,2024-02-24T18:07:00Z,FT,1,MLB,2024,36,Toronto Blue Jays,27,Philadelphia Phillies,13,14
baseball,152761,2024-02-24T18:10:00Z,FT,1,MLB,2024,24,New York Mets,33,St.Louis Cardinals,5,10
baseball,152762,2024-02-24T20:05:00Z,FT,1,MLB,2024,31,San Francisco Giants,6,Chicago Cubs,4,8
baseball,152763,2024-02-24T20:05:00Z,FT,1,MLB,2024,16,Kansas City Royals,35,Texas Rangers,5,4
baseball,152764,2024-02-24T20:05:00Z,FT,1,MLB,2024,26,Oakland Athletics,10,Colorado Rockies,1,5
baseball,152765,2024-02-24T20:05:00Z,FT,1,MLB,2024,7,Chicago White Sox,32,Seattle Mariners,8,7
