sport,game_id,date_utc,status,league_id,league,season,home_team_id,home_team,away_team_id,away_team,home_score,away_score
basketball,425068,2024-10-04T16:00:00Z,FT,12,NBA,2024-2025,139,Denver Nuggets,133,Boston Celtics,103,107
basketball,425069,2024-10-05T02:30:00Z,FT,12,NBA,2024-2025,145,Los Angeles Lakers,149,Minnesota Timberwolves,107,124
basketball,425070,2024-10-05T23:00:00Z,FT,12,NBA,2024-2025,144,Los Angeles Clippers,141,Golden State Warriors,90,91
basketball,425071,2024-10-06T14:00:00Z,FT,12,NBA,2024-2025,133,Boston Celtics,139,Denver Nuggets,130,104
basketball,425072,2024-10-06T21:00:00Z,FT,12,NBA,2024-2025,135,Charlotte Hornets,151,New York Knicks,109,111
basketball,425073,2024-10-06T23:30:00Z,FT,12,NBA,2024-2025,159,Toronto Raptors,161,Washington Wizards,125,98
basketball,425074,2024-10-07T00:00:00Z,FT,12,NBA,2024-2025,140,Detroit Pistons,148,Milwaukee Bucks,120,87
basketball,425075,2024-10-07T01:30:00Z,FT,12,NBA,2024-2025,145,Los Angeles Lakers,155,Phoenix Suns,114,118
basketball,425076,2024-10-07T17:30:00Z,FT,12,NBA,2024-2025,150,New Orleans Pelicans,153,Orlando Magic,106,104
basketball,425077,2024-10-08T00:00:00Z,FT,12,NBA,2024-2025,138,Dallas Mavericks,146,Memphis Grizzlies,116,121
basketball,425078,2024-10-08T00:00:00Z,FT,12,NBA,2024-2025,158,San Antonio Spurs,152,Oklahoma City Thunder,107,112
basketball,425079,2024-10-08T01:00:00Z,FT,12,NBA,2024-2025,160,Utah Jazz,142,Houston Rockets,122,113
basketball,425080,2024-10-08T23:00:00Z,FT,12,NBA,2024-2025,135,Charlotte Hornets,147,Miami Heat,111,108
basketball,425081,2024-10-08T23:00:00Z,FT,12,NBA,2024-2025,137,Cleveland Cavaliers,136,Chicago Bulls,112,116
basketball,425082,2024-10-08T23:00:00Z,FT,12,NBA,2024-2025,140,Detroit Pistons,155,Phoenix Suns,97,105
basketball,425083,2024-10-08T23:30:00Z,FT,12,NBA,2024-2025,132,Atlanta Hawks,143,Indiana Pacers,131,130
basketball,425084,2024-10-09T02:30:00Z,FT,12,NBA,2024-2025,144,Los Angeles Clippers,134,Brooklyn Nets,115,106
basketball,425085,2024-10-09T23:30:00Z,FT,12,NBA,2024-2025,151,New York Knicks,161,Washington Wizards,117,94
basketball,425086,2024-10-10T00:00:00Z,FT,12,NBA,2024-2025,158,San Antonio Spurs,153,Orlando Magic,107,97
basketball,425087,2024-10-10T00:00:00Z,AOT,12,NBA,2024-2025,152,Oklahoma City Thunder,142,Houston Rockets,113,122
basketball,425088,2024-10-10T02:30:00Z,FT,12,NBA,2024-2025,157,Sacramento Kings,141,Golden State Warriors,112,122
basketball,425089,2024-10-10T23:00:00Z,FT,12,NBA,2024-2025,137,Cleveland Cavaliers,143,Indiana Pacers,117,129
basketball,425091,2024-10-11T00:00:00Z,FT,12,NBA,2024-2025,138,Dallas Mavericks,160,Utah Jazz,102,107
basketball,425092,2024-10-11T00:00:00Z,FT,12,NBA,2024-2025,146,Memphis Grizzlies,135,Charlotte Hornets,94,119
basketball,425093,2024-10-11T00:00:00Z,FT,12,NBA,2024-2025,148,Milwaukee Bucks,145,Los Angeles Lakers,102,107
basketball,425094,2024-10-11T23:00:00Z,FT,12,NBA,2024-2025,161,Washington Wizards,159,Toronto Raptors,113,95
basketball,425095,2024-10-11T23:00:00Z,CANC,12,NBA,2024-2025,153,Orlando Magic,150,New Orleans Pelicans,,
basketball,425096,2024-10-11T23:00:00Z,FT,12,NBA,2024-2025,149,Minnesota Timberwolves,154,Philadelphia 76ers,121,111
basketball,425097,2024-10-12T02:00:00Z,FT,12,NBA,2024-2025,141,Golden State Warriors,157,Sacramento Kings,109,106
basketball,425098,2024-10-12T02:00:00Z,FT,12,NBA,2024-2025,155,Phoenix Suns,140,Detroit Pistons,91,109
basketball,425099,2024-10-12T02:30:00Z,FT,12,NBA,2024-2025,144,Los Angeles Clippers,156,Portland Trail Blazers,101,99
basketball,425100,2024-10-13T00:00:00Z,FT,12,NBA,2024-2025,133,Boston Celtics,154,Philadelphia 76ers,139,89
basketball,425101,2024-10-13T00:00:00Z,FT,12,NBA,2024-2025,136,Chicago Bulls,146,Memphis Grizzlies,121,124
basketball,425102,2024-10-13T00:00:00Z,FT,12,NBA,2024-2025,158,San Antonio Spurs,160,Utah Jazz,126,120
basketball,425103,2024-10-13T19:30:00Z,FT,12,NBA,2024-2025,147,Miami Heat,150,New Orleans Pelicans,101,99
basketball,425104,2024-10-13T22:00:00Z,FT,12,NBA,2024-2025,151,New York Knicks,149,Minnesota Timberwolves,115,110
basketball,425105,2024-10-13T22:00:00Z,FT,12,NBA,2024-2025,157,Sacramento Kings,156,Portland Trail Blazers,85,105
basketball,425106,2024-10-13T23:00:00Z,FT,12,NBA,2024-2025,133,Boston Celtics,159,Toronto Raptors,115,111
basketball,425107,2024-10-14T00:30:00Z,FT,12,NBA,2024-2025,139,Denver Nuggets,155,Phoenix Suns,114,118
basketball,425108,2024-10-14T00:30:00Z,FT,12,NBA,2024-2025,141,Golden State Warriors,140,Detroit Pistons,111,93
basketball,425109,2024-10-14T23:00:00Z,FT,12,NBA,2024-2025,143,Indiana Pacers,146,Memphis Grizzlies,116,120
basketball,425110,2024-10-14T23:30:00Z,FT,12,NBA,2024-2025,132,Atlanta Hawks,154,Philadelphia 76ers,89,104
basketball,425111,2024-10-14T23:30:00Z,FT,12,NBA,2024-2025,134,Brooklyn Nets,161,Washington Wizards,131,92
basketball,425112,2024-10-15T00:00:00Z,FT,12,NBA,2024-2025,148,Milwaukee Bucks,136,Chicago Bulls,111,107
basketball,425113,2024-10-15T02:30:00Z,FT,12,NBA,2024-2025,144,Los Angeles Clippers,138,Dallas Mavericks,110,96
basketball,425114,2024-10-15T23:00:00Z,FT,12,NBA,2024-2025,159,Toronto Raptors,133,Boston Celtics,119,118
